sample_id,time,N,13CO2,12CO2,signal_length,mod_mean,mod_std,mod_max,phase_sin_mean,phase_cos_mean,phase_wrap_jumps,modulus_identity_relative_mae,phase_xy_circular_mae_radians,P_med,P_cons,F_med,F_cons,Temp
12:46:00/scan-018,12:46:00,18,0.0,0.0,200000,0.0010639570938226436,0.00029826404277429833,0.0019396393133479656,-0.1505319054558848,-0.8618809512672125,103,2.099566896128163e-06,0.004590307249826865,0.8999727817093087,0.8999727817093087,109.0,1000.0,30.4
12:46:00/scan-019,12:46:00,19,0.0,0.0,200000,0.0010788855204561388,0.00029698001168756023,0.0019990545895810286,-0.14648336226686154,-0.869965396520116,95,2.4813561177050847e-06,0.0048929898416348655,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.4
12:55:42/scan-000,12:55:42,0,0.412372,36.870962,200000,0.0010413829876117855,0.00030994287547753363,0.001933058961991871,-0.10941805234587679,-0.8720049580790786,108,3.9627202624607675e-06,0.006409377094704835,0.8999047359825803,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-001,12:55:42,1,0.412372,36.870962,200000,0.0010724525492199965,0.0003139452440939304,0.002118093860581113,-0.11497218229730809,-0.8646102005666763,101,3.2084079016898366e-06,0.005026965988299171,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-002,12:55:42,2,0.412372,36.870962,200000,0.0011544832794237528,0.00036673614725235776,0.002407881224858314,-0.1508099344184484,-0.8105247463159868,95,3.2007970121785356e-06,0.00436886643430761,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-003,12:55:42,3,0.412372,36.870962,200000,0.0011341647117290492,0.00038232285544952495,0.002573652840754118,-0.10777248887639257,-0.8111088456241756,90,1.693432924074524e-06,0.004326834606304095,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-004,12:55:42,4,0.412372,36.870962,200000,0.001114005741857543,0.0003670081743905244,0.00239426784076001,-0.14481515501073394,-0.8238293274479621,91,1.7947811003160005e-06,0.004667360038627853,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-005,12:55:42,5,0.412372,36.870962,200000,0.0011382032068040274,0.0003741502983931387,0.0025068858687176407,-0.13100046346633656,-0.8107056140472225,96,1.3490360899881174e-06,0.005194569844295103,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.4
12:55:42/scan-006,12:55:42,6,0.412372,36.870962,200000,0.0011633239000216657,0.0003423887637259677,0.0025470428553864134,-0.1482044563204414,-0.8197280702867644,91,1.1559915087382791e-06,0.004345915505609034,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.4
12:55:42/scan-007,12:55:42,7,0.412372,36.870962,200000,0.0011589641601257748,0.00036029507135918197,0.0024345716648447036,-0.11484708485297182,-0.8256510911760927,133,1.237899948392971e-06,0.005575864740939463,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.4
12:55:42/scan-008,12:55:42,8,0.412372,36.870962,200000,0.0011457404473587392,0.0003603549583091171,0.002468356939185892,-0.12080436364033786,-0.8130658826004501,113,1.3910103286951456e-06,0.00618155864158037,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.4
12:55:42/scan-009,12:55:42,9,0.412372,36.870962,200000,0.001132153853970272,0.0003550793990008958,0.0023879133385050783,-0.12298464876264453,-0.8251183106671273,107,1.6344135804464189e-06,0.00470977096703259,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-010,12:55:42,10,0.412372,36.870962,200000,0.0011255434045352446,0.00036642803532411177,0.0024719696302828754,-0.13564331367866383,-0.7931013472915037,110,1.3880985670462964e-06,0.0052757499702073005,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-011,12:55:42,11,0.412372,36.870962,200000,0.0011371455528705007,0.00033715213738603475,0.0022731625487127723,-0.13981399234519934,-0.8262260773734329,153,1.2672623695577493e-06,0.006081601856895027,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-012,12:55:42,12,0.412372,36.870962,200000,0.0011321724493900745,0.0003526554766030869,0.002343398463168124,-0.12517449611433004,-0.8117584730590319,90,1.4091504845254327e-06,0.004092579357710386,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-013,12:55:42,13,0.412372,36.870962,200000,0.0011238145550166929,0.00037448050200120987,0.00249194431220315,-0.14777945454826305,-0.822127366607378,147,1.2776637951959546e-06,0.005582992788601741,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-014,12:55:42,14,0.412372,36.870962,200000,0.0011455850381177596,0.0003460365329336706,0.002328350063554024,-0.11972457508038442,-0.8205104253856651,100,1.4007096145251561e-06,0.005601312794518672,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-015,12:55:42,15,0.412372,36.870962,200000,0.001129639790176707,0.00035568868912582287,0.00234752416475813,-0.11819804806295542,-0.802120503291357,110,2.705241251538845e-06,0.00515354640437803,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-016,12:55:42,16,0.412372,36.870962,200000,0.0011233347100115735,0.0003595838383501013,0.002401467332367129,-0.11081920130790994,-0.8225106838913163,123,1.3007406674851662e-06,0.0048074316613113425,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-017,12:55:42,17,0.412372,36.870962,200000,0.0011326755989332507,0.0003537848552229428,0.0023317110852103303,-0.1353353563384973,-0.8140799002271745,112,1.7849195754646321e-06,0.005668348292163614,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-018,12:55:42,18,0.412372,36.870962,200000,0.001126505710281238,0.00038112884048351205,0.0023531883119537306,-0.1258840624063599,-0.8134700472406944,127,1.4048442007082105e-06,0.006338100065093414,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:55:42/scan-019,12:55:42,19,0.412372,36.870962,200000,0.001140182944069729,0.0003530075553879574,0.002407241544798771,-0.1521120104994906,-0.8117263800161472,110,1.7671672785704683e-06,0.005039258273753077,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-000,13:05:15,0,0.824743,73.741923,200000,0.001161124629714683,0.0003366084656118165,0.0023072705967889097,-0.11325945851256822,-0.8190149058773828,97,1.24921646739417e-06,0.004789534678855427,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-001,13:05:15,1,0.824743,73.741923,200000,0.0011287311990039479,0.00032989607217408093,0.002192735796854118,-0.13646314330831236,-0.8015804505399898,69,1.9349448877058882e-06,0.0038902125534384597,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-002,13:05:15,2,0.824743,73.741923,200000,0.0012251419363915159,0.0004293935583119978,0.003037520700346099,-0.14301886653456514,-0.745586382786945,86,1.1851077793625138e-06,0.004086254346444183,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-003,13:05:15,3,0.824743,73.741923,200000,0.001257149923170229,0.00046883245300155226,0.0030977721338616765,-0.15463850502697118,-0.7392790844766532,63,1.0773139560269446e-06,0.003582646893297377,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-004,13:05:15,4,0.824743,73.741923,200000,0.0012785865877765767,0.00042560662789656057,0.0029479024664275716,-0.14219500390783185,-0.7356424108368339,74,1.3832207402548083e-06,0.002991783743320627,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-005,13:05:15,5,0.824743,73.741923,200000,0.001278184662096211,0.00045677401612419737,0.003030783854352717,-0.14072016029965917,-0.743601981124197,68,9.772392709390403e-07,0.0035602186493362336,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-006,13:05:15,6,0.824743,73.741923,200000,0.0012758539445473468,0.0004730585452323107,0.0031358463976081845,-0.14797176890367966,-0.739384263364062,79,9.86825037190519e-07,0.0029420908717341866,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.3
13:05:15/scan-007,13:05:15,7,0.824743,73.741923,200000,0.0013077197217660564,0.0004540794300102905,0.003213254362023769,-0.14293650334063526,-0.73560019134248,56,1.0891095667914168e-06,0.0022393056192799112,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
