target,feature,mean_coefficient,mean_abs_coefficient,coefficient_std,sign_consistency
12CO2,phase_bin_16_mean,1.029932075853361,1.029932075853361,0.43230313787213204,1.0
12CO2,mod_peak1_pow,0.4538497977286576,1.0125156430634068,0.9745630580982753,0.42857142857142855
12CO2,phase_bin_28_mean,-0.6624009622767504,0.9875999789170312,0.858245666755176,0.42857142857142855
12CO2,phase_bin_15_mean,-0.6397934241039138,0.9589504754747222,0.9539237881699939,0.7142857142857143
12CO2,mod_peak1_freq,-0.9076669093474663,0.9076669093474663,0.35036347127367057,1.0
12CO2,Y_kurt,0.5985453910742375,0.7980607930737026,0.7127487325431204,0.42857142857142855
12CO2,mod_peak3_freq,-0.6964494544064086,0.771538398770609,0.5737570652510342,0.7142857142857143
12CO2,mod_peak2_freq,0.38506016138080995,0.7558090187764345,0.7845539700945776,0.7142857142857143
12CO2,phase_skew,0.4399699467177509,0.6888409812502418,0.7035684443107609,0.42857142857142855
12CO2,P_med,-0.047394747973166236,0.6422987806226136,0.6532351512346655,0.14285714285714285
12CO2,phase_bin_18_mean,0.6410970997077398,0.6410970997077398,0.28399562638328285,1.0
12CO2,phase_min,0.34127957642331314,0.6257053799710831,0.6874665422159262,0.14285714285714285
12CO2,phase_bin_14_mean,-0.17476272772815798,0.6114001810942271,0.7027871192199066,0.42857142857142855
12CO2,mod_psd_mean,0.14975790943900033,0.5700215141676971,0.6317557153937812,0.14285714285714285
12CO2,mod_psd_total,0.14975790940095873,0.5700215141603665,0.6317557154000594,0.14285714285714285
12CO2,phase_bin_31_mean,0.1210585994998965,0.4945703584613395,0.5701535958217475,0.14285714285714285
12CO2,Y_max,-0.28877930665593865,0.3726993333916351,0.47207047002458213,0.42857142857142855
12CO2,mod_peak4_freq,0.07374410415919293,0.2639164438450731,0.28111985558637487,0.42857142857142855
12CO2,mod_psd_freq_max,0.0,0.0,0.0,0.0
12CO2,mod_peak0_freq,0.0,0.0,0.0,0.0
12CO2,P_cons,0.0,0.0,0.0,0.0
12CO2,F_cons,0.0,0.0,0.0,0.0
13CO2,mod_median,0.09744630119915855,0.09744630119915855,0.02646404538137073,1.0
13CO2,phase_median,0.082205039555688,0.082205039555688,0.026148269389787576,1.0
13CO2,phase_bin_05_mean,0.059030638922591805,0.061387090561613566,0.034847129186848784,0.7142857142857143
13CO2,phase_sin_mean,-0.061307359156392585,0.061307359156392585,0.021558988688106965,1.0
13CO2,phase_bin_23_mean,-0.06091020829781362,0.06091020829781362,0.017337620469221195,1.0
13CO2,mod_p10,0.04852859119743408,0.04947070017687176,0.029484010677695304,0.7142857142857143
13CO2,X_std,0.04920681745293861,0.04920681745293861,0.009806972624949038,1.0
13CO2,mod_mean,0.04894900443487003,0.04894900443487003,0.012548788520942069,1.0
13CO2,mod_p90,0.04866556961653922,0.04866556961653922,0.023135135144694275,1.0
13CO2,mod_kurt,0.04855806806539546,0.04855806806539546,0.010519591031257618,1.0
13CO2,Y_mean,-0.0478163989894127,0.0478163989894127,0.014901864296334862,1.0
13CO2,mod_std,0.047614250696910033,0.047614250696910033,0.016037385798035833,1.0
13CO2,Y_min,0.04385576915787854,0.044800714902832973,0.021399190476881276,0.7142857142857143
13CO2,phase_std,-0.04414739912804617,0.04414739912804617,0.014559972288247623,1.0
13CO2,phase_kurt,-0.04349187511641029,0.04349187511641029,0.011579056246145232,1.0
13CO2,X_skew,0.0386690163855675,0.04053778688881633,0.03021685454040499,0.7142857142857143
13CO2,mod_peak0_pow,0.039887521122848615,0.039887521122848615,0.01640069042816817,1.0
13CO2,mod_psd_max,0.03988752112284828,0.03988752112284828,0.016400690428171702,1.0
13CO2,phase_bin_26_mean,-0.03884254513145299,0.03891350863275232,0.023141897463942282,0.7142857142857143
13CO2,mod_max,-0.03861235235905869,0.03861235235905869,0.022226176938739114,1.0
13CO2,phase_bin_03_mean,0.03168534618169601,0.0364633077496297,0.030826874375000965,0.42857142857142855
13CO2,F_med,0.03645307115502762,0.03645307115502762,0.012541172900101288,1.0
13CO2,Y_skew,-0.029368917924283026,0.03526248463250788,0.03001497883400776,0.7142857142857143
13CO2,phase_p10,-0.021113538300999234,0.0349121272157327,0.034353264540747074,0.14285714285714285
13CO2,Y_median,0.03387618142340332,0.03453404581869631,0.017042088413588674,0.7142857142857143
13CO2,X_p10,-0.03226695466889052,0.03226695466889052,0.01903091213723665,1.0
13CO2,mod_skew,0.03183214798967711,0.03183214798967711,0.011380739004157396,1.0
13CO2,X_p90,0.030784964844430825,0.030784964844430825,0.011480376939680485,1.0
13CO2,phase_bin_01_mean,-0.029824203580764996,0.029824203580764996,0.008196496979343907,1.0
13CO2,phase_bin_06_mean,0.027368604613035637,0.028984909754179757,0.018100763025251255,0.7142857142857143
13CO2,phase_resultant_length,-0.0288546738536238,0.0288546738536238,0.010769772565382923,1.0
13CO2,phase_bin_12_mean,-0.028669307179300045,0.028669307179300045,0.009699364278039954,1.0
13CO2,phase_bin_07_mean,0.017100107556483567,0.028438663146590524,0.027345502291890568,0.7142857142857143
13CO2,Y_std,-0.0022374329087718635,0.028357633948653104,0.03100713295888546,0.14285714285714285
13CO2,phase_p90,-0.028122969120383087,0.028122969120383087,0.011036386796008768,1.0
13CO2,phase_bin_24_mean,0.011893894736474687,0.026607348453229727,0.02979436641584695,0.14285714285714285
13CO2,phase_circular_mean,0.025771256511214695,0.025771256511214695,0.009181387789246934,1.0
