model,seed,target,group,samples,rmse,mae,bias
InceptionNestedNoAug,2,12CO2,13:33:30,20,20.586009979248047,19.593669891357422,-19.593669891357422
InceptionNestedNoAug,2,13CO2,13:43:08,20,0.345100998878479,0.31867098808288574,-0.31867098808288574
InceptionNestedNoAug,2,12CO2,13:43:08,20,55.438480377197266,55.07099151611328,-55.07099151611328
InceptionNestedNoAug,3,13CO2,12:46:00,20,0.6191308498382568,0.6165614128112793,0.6165614128112793
InceptionNestedNoAug,3,12CO2,12:46:00,20,54.23491287231445,54.129844665527344,54.129844665527344
InceptionNestedNoAug,3,13CO2,12:55:42,20,0.3590395152568817,0.3315555453300476,0.3315555453300476
InceptionNestedNoAug,3,12CO2,12:55:42,20,26.2717342376709,24.93267250061035,24.93267250061035
InceptionNestedNoAug,3,13CO2,13:05:15,20,0.13768844306468964,0.09811071306467056,-0.09553681313991547
InceptionNestedNoAug,3,12CO2,13:05:15,20,10.336838722229004,6.095430850982666,-5.285524845123291
InceptionNestedNoAug,3,13CO2,13:14:37,20,0.17639176547527313,0.1460537165403366,0.05419536307454109
InceptionNestedNoAug,3,12CO2,13:14:37,20,19.691553115844727,17.766448974609375,10.966508865356445
InceptionNestedNoAug,3,13CO2,13:24:02,20,0.1641949564218521,0.11462382227182388,-0.06240333244204521
InceptionNestedNoAug,3,12CO2,13:24:02,20,16.798540115356445,13.342927932739258,-8.038620948791504
InceptionNestedNoAug,3,13CO2,13:33:30,20,0.16089056432247162,0.11339937150478363,-0.11294456571340561
InceptionNestedNoAug,3,12CO2,13:33:30,20,19.910696029663086,17.55445671081543,-17.55445671081543
InceptionNestedNoAug,3,13CO2,13:43:08,20,0.7625582814216614,0.7568961381912231,-0.7568961381912231
InceptionNestedNoAug,3,12CO2,13:43:08,20,41.31839370727539,39.71460723876953,-39.71460723876953
InceptionNestedNoAug,4,13CO2,12:46:00,20,0.49647507071495056,0.4917314648628235,0.4917314648628235
InceptionNestedNoAug,4,12CO2,12:46:00,20,48.79075622558594,48.705474853515625,48.705474853515625
InceptionNestedNoAug,4,13CO2,12:55:42,20,0.47139063477516174,0.47054123878479004,0.47054123878479004
InceptionNestedNoAug,4,12CO2,12:55:42,20,35.94755935668945,35.723121643066406,35.723121643066406
InceptionNestedNoAug,4,13CO2,13:05:15,20,0.15188029408454895,0.08689616620540619,-0.06244002655148506
InceptionNestedNoAug,4,12CO2,13:05:15,20,11.21010684967041,7.99785852432251,-0.7715339660644531
InceptionNestedNoAug,4,13CO2,13:14:37,20,0.19257381558418274,0.16052937507629395,0.07556314021348953
InceptionNestedNoAug,4,12CO2,13:14:37,20,14.716018676757812,11.610908508300781,4.7287278175354
InceptionNestedNoAug,4,13CO2,13:24:02,20,0.19702650606632233,0.17248506844043732,-0.16649751365184784
InceptionNestedNoAug,4,12CO2,13:24:02,20,26.411645889282227,23.048542022705078,-21.308025360107422
InceptionNestedNoAug,4,13CO2,13:33:30,20,0.1904090940952301,0.14132367074489594,-0.1111009493470192
InceptionNestedNoAug,4,12CO2,13:33:30,20,22.2608585357666,19.68373680114746,-19.68373680114746
InceptionNestedNoAug,4,13CO2,13:43:08,20,0.1889820694923401,0.14086546003818512,-0.13640569150447845
InceptionNestedNoAug,4,12CO2,13:43:08,20,39.19801330566406,38.496253967285156,-38.496253967285156
InceptionNestedNoAug,5,13CO2,12:46:00,20,0.5417073369026184,0.5364281535148621,0.5364281535148621
InceptionNestedNoAug,5,12CO2,12:46:00,20,46.36532211303711,45.70459747314453,45.70459747314453
InceptionNestedNoAug,5,13CO2,12:55:42,20,0.18042492866516113,0.17569322884082794,0.17569322884082794
InceptionNestedNoAug,5,12CO2,12:55:42,20,32.29515075683594,32.06535720825195,32.06535720825195
InceptionNestedNoAug,5,13CO2,13:05:15,20,0.40936964750289917,0.3898271322250366,-0.3898271322250366
InceptionNestedNoAug,5,12CO2,13:05:15,20,15.71684455871582,13.225852966308594,-13.225852966308594
InceptionNestedNoAug,5,13CO2,13:14:37,20,0.13950115442276,0.10877518355846405,0.03883470967411995
InceptionNestedNoAug,5,12CO2,13:14:37,20,12.487419128417969,8.279454231262207,0.5754963159561157
InceptionNestedNoAug,5,13CO2,13:24:02,20,0.170667365193367,0.1264927238225937,-0.12065714597702026
InceptionNestedNoAug,5,12CO2,13:24:02,20,17.3279972076416,13.989221572875977,-13.264780044555664
InceptionNestedNoAug,5,13CO2,13:33:30,20,0.24449887871742249,0.23267510533332825,-0.23267510533332825
InceptionNestedNoAug,5,12CO2,13:33:30,20,23.121158599853516,22.47494888305664,-22.47494888305664
InceptionNestedNoAug,5,13CO2,13:43:08,20,0.35414689779281616,0.3412477970123291,-0.3412477970123291
InceptionNestedNoAug,5,12CO2,13:43:08,20,39.88296890258789,39.18994903564453,-39.18994903564453
InceptionNestedAug,1,13CO2,12:46:00,20,0.4101639986038208,0.3935438394546509,0.3935438394546509
InceptionNestedAug,1,12CO2,12:46:00,20,39.91120910644531,39.507137298583984,39.507137298583984
InceptionNestedAug,1,13CO2,12:55:42,20,0.39606529474258423,0.373847633600235,0.373847633600235
InceptionNestedAug,1,12CO2,12:55:42,20,27.34872055053711,26.8243465423584,26.8243465423584
InceptionNestedAug,1,13CO2,13:05:15,20,0.18991801142692566,0.15657489001750946,-0.15657489001750946
InceptionNestedAug,1,12CO2,13:05:15,20,18.90251922607422,15.919807434082031,-15.919807434082031
InceptionNestedAug,1,13CO2,13:14:37,20,0.2000887244939804,0.15772011876106262,0.062194518744945526
InceptionNestedAug,1,12CO2,13:14:37,20,20.506919860839844,18.582565307617188,10.861350059509277
InceptionNestedAug,1,13CO2,13:24:02,20,0.13229264318943024,0.1014091819524765,-0.03088468313217163
InceptionNestedAug,1,12CO2,13:24:02,20,10.958207130432129,7.55929708480835,-2.9451904296875
InceptionNestedAug,1,13CO2,13:33:30,20,0.1787034273147583,0.14575092494487762,-0.14171287417411804
InceptionNestedAug,1,12CO2,13:33:30,20,17.5921573638916,14.689275741577148,-9.657831192016602
InceptionNestedAug,1,13CO2,13:43:08,20,0.168769970536232,0.11700930446386337,-0.1057208776473999
InceptionNestedAug,1,12CO2,13:43:08,20,18.89740753173828,15.004742622375488,-15.004742622375488
InceptionNestedAug,2,13CO2,12:46:00,20,0.5510128140449524,0.5503892302513123,0.5503892302513123
InceptionNestedAug,2,12CO2,12:46:00,20,47.31856155395508,46.840293884277344,46.840293884277344
InceptionNestedAug,2,13CO2,12:55:42,20,0.19948488473892212,0.18750004470348358,0.18611684441566467
InceptionNestedAug,2,12CO2,12:55:42,20,27.443313598632812,27.024927139282227,27.024927139282227
InceptionNestedAug,2,13CO2,13:05:15,20,0.18895110487937927,0.14423877000808716,-0.13822689652442932
InceptionNestedAug,2,12CO2,13:05:15,20,14.230391502380371,10.21086311340332,-9.323933601379395
InceptionNestedAug,2,13CO2,13:14:37,20,0.20504796504974365,0.17702504992485046,0.09671872109174728
InceptionNestedAug,2,12CO2,13:14:37,20,17.55363655090332,14.561792373657227,7.054468631744385
InceptionNestedAug,2,13CO2,13:24:02,20,0.19662252068519592,0.16656915843486786,-0.16656915843486786
InceptionNestedAug,2,12CO2,13:24:02,20,16.725255966186523,13.142107963562012,-12.846783638000488
InceptionNestedAug,2,13CO2,13:33:30,20,0.17124700546264648,0.14051762223243713,-0.13920068740844727
